model,readout,region,n_components,fold,r2
linear-linear,linear,SMA,36,2,0.6562306068654599
linear-linear,linear,SMA,36,3,0.5592314305722983
linear-linear,linear,SMA,36,4,0.5359509147036202
linear-linear,linear,SMA,46,0,0.5828068951550414
linear-linear,linear,SMA,46,1,0.6093980662324949
linear-linear,linear,SMA,46,2,0.6677904685298642
linear-linear,linear,SMA,46,3,0.5682698530925514
linear-linear,linear,SMA,46,4,0.5513369340492978
linear-linear,linear,SMA,50,0,0.589200098694536
linear-linear,linear,SMA,50,1,0.6151587300931863
linear-linear,linear,SMA,50,2,0.6679812951907238
linear-linear,linear,SMA,50,3,0.5734761315225888
linear-linear,linear,SMA,50,4,0.5537796608097089
nonlinear-linear,mlp,M1,10,0,0.5168563232208206
nonlinear-linear,mlp,M1,10,1,0.5955569114780583
nonlinear-linear,mlp,M1,10,2,0.5756355348967069
nonlinear-linear,mlp,M1,10,3,0.5903601200368096
nonlinear-linear,mlp,M1,10,4,0.522678222212194
nonlinear-linear,mlp,M1,16,0,0.6976077409545557
nonlinear-linear,mlp,M1,16,1,0.7328593395040414
nonlinear-linear,mlp,M1,16,2,0.7307644803464194
nonlinear-linear,mlp,M1,16,3,0.754065136626074
nonlinear-linear,mlp,M1,16,4,0.6685701874693365
nonlinear-linear,mlp,M1,26,0,0.7562298651134052
nonlinear-linear,mlp,M1,26,1,0.7910835760015632
nonlinear-linear,mlp,M1,26,2,0.7804963820387613
nonlinear-linear,mlp,M1,26,3,0.8116230478978609
nonlinear-linear,mlp,M1,26,4,0.7374564137056976
nonlinear-linear,mlp,M1,36,0,0.7746567894290508
nonlinear-linear,mlp,M1,36,1,0.820772937503358
nonlinear-linear,mlp,M1,36,2,0.7984250111690361
nonlinear-linear,mlp,M1,36,3,0.828517353451924
nonlinear-linear,mlp,M1,36,4,0.7731561697281464
nonlinear-linear,mlp,M1,46,0,0.7854500791515072
nonlinear-linear,mlp,M1,46,1,0.8337620559105363
nonlinear-linear,mlp,M1,46,2,0.805638326416749
nonlinear-linear,mlp,M1,46,3,0.8352382524199343
nonlinear-linear,mlp,M1,50,0,0.7846738399075438
nonlinear-linear,mlp,M1,50,1,0.8346656421673978
nonlinear-linear,mlp,M1,50,2,0.8065137477026117
nonlinear-linear,mlp,M1,50,3,0.8365791002052329
nonlinear-linear,mlp,M1,50,4,0.7824189570392438
nonlinear-linear,mlp,SMA,10,0,0.4039889155720826
nonlinear-linear,mlp,SMA,10,1,0.4673168956591245
nonlinear-linear,mlp,SMA,10,2,0.520106948444646
nonlinear-linear,mlp,SMA,10,3,0.4130006991356948
nonlinear-linear,mlp,SMA,10,4,0.4191398379072355
nonlinear-linear,mlp,SMA,16,0,0.576500899818392
nonlinear-linear,mlp,SMA,16,1,0.5891639701014015
nonlinear-linear,mlp,SMA,16,2,0.6776455166024976
nonlinear-linear,mlp,SMA,16,3,0.5727624934511731
nonlinear-linear,mlp,SMA,16,4,0.5553578077876904
nonlinear-linear,mlp,SMA,26,0,0.6431487329476067
nonlinear-linear,mlp,SMA,26,1,0.6546554149532922
nonlinear-linear,mlp,SMA,26,2,0.7330817556879531
nonlinear-linear,mlp,SMA,26,3,0.6336158677699603
nonlinear-linear,mlp,SMA,26,4,0.5929569337162083
nonlinear-linear,mlp,SMA,36,0,0.6593332050597072
nonlinear-linear,mlp,SMA,36,1,0.6830724980530687
nonlinear-linear,mlp,SMA,36,2,0.7410014534944591
nonlinear-linear,mlp,SMA,36,3,0.6544766727911283
nonlinear-linear,mlp,SMA,36,4,0.6362431222108879
nonlinear-linear,mlp,SMA,46,0,0.6691713452658992
nonlinear-linear,mlp,SMA,46,1,0.6915425979946406
nonlinear-linear,mlp,SMA,46,2,0.7448686157374355
nonlinear-linear,mlp,SMA,46,3,0.6575181800775494
nonlinear-linear,mlp,SMA,50,0,0.6669013479575708
nonlinear-linear,mlp,SMA,50,1,0.6963643781927561
nonlinear-linear,mlp,SMA,50,2,0.7519141853967509
nonlinear-linear,mlp,SMA,50,3,0.665298837423164
nonlinear-linear,mlp,SMA,50,4,0.6196972000556984
nonlinear-linear,linear,M1,10,0,0.36894730683168725
nonlinear-linear,linear,M1,10,1,0.4594920312693296
nonlinear-linear,linear,M1,10,2,0.44279169788572675
nonlinear-linear,linear,M1,10,3,0.4752123370013731
nonlinear-linear,linear,M1,10,4,0.3871704526261718
nonlinear-linear,linear,M1,16,0,0.5534726597634437
nonlinear-linear,linear,M1,16,1,0.5839917677521841
nonlinear-linear,linear,M1,16,2,0.5831094346460877
nonlinear-linear,linear,M1,16,3,0.6223280482415172
nonlinear-linear,linear,M1,16,4,0.5139098264858623
nonlinear-linear,linear,M1,26,0,0.6687881371212487
nonlinear-linear,linear,M1,26,1,0.681266948288327
nonlinear-linear,linear,M1,26,2,0.6633692932006126
nonlinear-linear,linear,M1,26,3,0.7166343460512891
nonlinear-linear,linear,M1,26,4,0.6266171128805214
nonlinear-linear,linear,M1,36,0,0.710248105438831
nonlinear-linear,linear,M1,36,1,0.737249130560793
nonlinear-linear,linear,M1,36,2,0.7124098388800979
nonlinear-linear,linear,M1,36,3,0.7618766851762461
nonlinear-linear,linear,M1,36,4,0.6949846655128841
nonlinear-linear,linear,M1,46,0,0.7442630502521093
