model,readout,region,n_components,fold,r2
nonlinear-linear,mlp,M1,50,1,0.838280643464244
nonlinear-linear,mlp,M1,50,2,0.808017757791447
nonlinear-linear,mlp,M1,50,3,0.8418064636792152
nonlinear-linear,mlp,M1,50,4,0.785286447501711
nonlinear-linear,mlp,SMA,10,0,0.40740137684804256
nonlinear-linear,mlp,SMA,10,1,0.46712609955526585
nonlinear-linear,mlp,SMA,10,2,0.5692836207105578
nonlinear-linear,mlp,SMA,10,3,0.45548957333962176
nonlinear-linear,mlp,SMA,10,4,0.42484074857679155
nonlinear-linear,mlp,SMA,16,0,0.5593563814651887
nonlinear-linear,mlp,SMA,16,1,0.5820255217806167
nonlinear-linear,mlp,SMA,16,2,0.6753628389864528
nonlinear-linear,mlp,SMA,16,3,0.5478180831754955
nonlinear-linear,mlp,SMA,16,4,0.576018314053391
nonlinear-linear,mlp,SMA,26,0,0.6343103900157406
nonlinear-linear,mlp,SMA,26,1,0.6490450611360373
nonlinear-linear,mlp,SMA,26,2,0.7285101225205882
nonlinear-linear,mlp,SMA,26,3,0.6384223564348552
nonlinear-linear,mlp,SMA,26,4,0.5959970363379608
nonlinear-linear,mlp,SMA,36,0,0.6558134734744965
nonlinear-linear,mlp,SMA,36,1,0.6742581000292452
nonlinear-linear,mlp,SMA,36,2,0.7440315192125866
nonlinear-linear,mlp,SMA,36,3,0.6541786457520774
nonlinear-linear,mlp,SMA,36,4,0.6207213379838623
nonlinear-linear,mlp,SMA,46,0,0.6573780965101425
nonlinear-linear,mlp,SMA,46,1,0.6919567963749124
nonlinear-linear,mlp,SMA,46,2,0.7505609567168849
nonlinear-linear,mlp,SMA,46,3,0.6628125885749939
nonlinear-linear,mlp,SMA,46,4,0.6215087317954424
nonlinear-linear,mlp,SMA,50,0,0.6683537620902735
nonlinear-linear,mlp,SMA,50,1,0.6937743465286341
nonlinear-linear,mlp,SMA,50,2,0.7481963981213543
nonlinear-linear,mlp,SMA,50,3,0.6569897203144709
nonlinear-linear,mlp,SMA,50,4,0.6178266845147097
nonlinear-linear,linear,M1,10,0,0.3941315520021518
nonlinear-linear,linear,M1,10,1,0.4778037116025745
nonlinear-linear,linear,M1,10,2,0.46843324519558616
nonlinear-linear,linear,M1,10,3,0.47672057757818004
nonlinear-linear,linear,M1,10,4,0.3925044961771879
nonlinear-linear,linear,M1,16,0,0.4996080357925794
nonlinear-linear,linear,M1,16,1,0.5951397925922128
nonlinear-linear,linear,M1,16,2,0.5733544895673535
nonlinear-linear,linear,M1,16,3,0.6081777257500921
nonlinear-linear,linear,M1,16,4,0.5138843307461525
nonlinear-linear,linear,M1,26,0,0.6537569342095244
nonlinear-linear,linear,M1,26,1,0.6843332941088014
nonlinear-linear,linear,M1,26,2,0.6818060731722447
nonlinear-linear,linear,M1,26,3,0.7208745596863316
nonlinear-linear,linear,M1,26,4,0.6230230334434778
nonlinear-linear,linear,M1,36,0,0.7140398617735402
nonlinear-linear,linear,M1,36,1,0.7405908068257965
nonlinear-linear,linear,M1,36,2,0.7123617960918354
nonlinear-linear,linear,M1,36,3,0.7614754249962934
nonlinear-linear,linear,M1,36,4,0.6907890130766682
nonlinear-linear,linear,M1,46,0,0.7359834632800671
nonlinear-linear,linear,M1,46,1,0.7844539300203668
nonlinear-linear,linear,M1,46,2,0.7526765488229106
nonlinear-linear,linear,M1,46,3,0.7926713988529962
nonlinear-linear,linear,M1,46,4,0.7377891100709648
nonlinear-linear,linear,M1,50,0,0.7462339457614346
nonlinear-linear,linear,M1,50,1,0.7919424682590173
nonlinear-linear,linear,M1,50,2,0.7629946733101949
nonlinear-linear,linear,M1,50,3,0.8065014823614504
nonlinear-linear,linear,M1,50,4,0.7397459635231588
nonlinear-linear,linear,SMA,10,0,0.30290701478982496
nonlinear-linear,linear,SMA,10,1,0.354333399223776
nonlinear-linear,linear,SMA,10,2,0.4484723929511679
nonlinear-linear,linear,SMA,10,3,0.3252184611466486
nonlinear-linear,linear,SMA,10,4,0.3008519641343061
nonlinear-linear,linear,SMA,16,0,0.4063261137471019
nonlinear-linear,linear,SMA,16,1,0.45818161846820127
nonlinear-linear,linear,SMA,16,2,0.5501386403270939
nonlinear-linear,linear,SMA,16,3,0.44575755659790123
nonlinear-linear,linear,SMA,16,4,0.4482672104253336
nonlinear-linear,linear,SMA,26,0,0.5425691610504998
nonlinear-linear,linear,SMA,26,1,0.5759568690895408
nonlinear-linear,linear,SMA,26,2,0.6528051892771223
nonlinear-linear,linear,SMA,26,3,0.5610073001568995
nonlinear-linear,linear,SMA,26,4,0.5293286432758431
nonlinear-linear,linear,SMA,36,0,0.5912648929498358
nonlinear-linear,linear,SMA,36,1,0.616148898462582
nonlinear-linear,linear,SMA,36,2,0.6839014903442521
nonlinear-linear,linear,SMA,36,3,0.5919786371650579
nonlinear-linear,linear,SMA,36,4,0.5732633482999118
nonlinear-linear,linear,SMA,46,0,0.6195003381864012
nonlinear-linear,linear,SMA,46,1,0.6581825827684376
nonlinear-linear,linear,SMA,46,2,0.7137428703099291
nonlinear-linear,linear,SMA,46,3,0.6261590901829347
nonlinear-linear,linear,SMA,46,4,0.586342167377749
nonlinear-linear,linear,SMA,50,0,0.6299510543080221
nonlinear-linear,linear,SMA,50,1,0.6690166814387513
nonlinear-linear,linear,SMA,50,2,0.7158561591511575
nonlinear-linear,linear,SMA,50,3,0.6301029711935765
nonlinear-linear,linear,SMA,50,4,0.6033934763085144
nonlinear-nonlinear,mlp,M1,10,0,0.5270517647643052
nonlinear-nonlinear,mlp,M1,10,1,0.595675437610325
nonlinear-nonlinear,mlp,M1,10,2,0.549228774653558
nonlinear-nonlinear,mlp,M1,10,3,0.6219238002752614
nonlinear-nonlinear,mlp,M1,10,4,0.5593455205538939
nonlinear-nonlinear,mlp,M1,16,0,0.6349810942634042
nonlinear-nonlinear,mlp,M1,16,1,0.7362822775001695
nonlinear-nonlinear,mlp,M1,16,2,0.7216268222647014
nonlinear-nonlinear,mlp,M1,16,3,0.6718015124566211
nonlinear-nonlinear,mlp,M1,16,4,0.6512844408309691
nonlinear-nonlinear,mlp,M1,26,0,0.7400728397289695
nonlinear-nonlinear,mlp,M1,26,1,0.7907790790591579
nonlinear-nonlinear,mlp,M1,26,2,0.7813674262202142
nonlinear-nonlinear,mlp,M1,26,3,0.812413209435774
nonlinear-nonlinear,mlp,M1,26,4,0.7455988832506997
nonlinear-nonlinear,mlp,M1,36,0,0.7781788038490802
nonlinear-nonlinear,mlp,M1,36,1,0.8135097540271979
nonlinear-nonlinear,mlp,M1,36,2,0.7953367203381952
nonlinear-nonlinear,mlp,M1,36,3,0.8372645819767043
nonlinear-nonlinear,mlp,M1,36,4,0.7728975966757187
nonlinear-nonlinear,mlp,M1,46,0,0.7804497345575547
nonlinear-nonlinear,mlp,M1,46,1,0.8311200507729126
nonlinear-nonlinear,mlp,M1,46,2,0.804477969309031
nonlinear-nonlinear,mlp,M1,46,3,0.8412794086686207
nonlinear-nonlinear,mlp,M1,46,4,0.7834280754879575
nonlinear-nonlinear,mlp,M1,50,0,0.7757481613439335
nonlinear-nonlinear,mlp,M1,50,1,0.8363221764315901
nonlinear-nonlinear,mlp,M1,50,2,0.8039190870289488
nonlinear-nonlinear,mlp,M1,50,3,0.8408098084089034
nonlinear-nonlinear,mlp,M1,50,4,0.7820261093914062
nonlinear-nonlinear,mlp,SMA,10,0,0.400296537511867
nonlinear-nonlinear,mlp,SMA,10,1,0.526318692906227
nonlinear-nonlinear,mlp,SMA,10,2,0.5412406692652054
nonlinear-nonlinear,mlp,SMA,10,3,0.465345653302599
nonlinear-nonlinear,mlp,SMA,10,4,0.4534288131565662
nonlinear-nonlinear,mlp,SMA,16,0,0.5654032247094287
nonlinear-nonlinear,mlp,SMA,16,1,0.5930245059910442
nonlinear-nonlinear,mlp,SMA,16,2,0.6669222619217269
nonlinear-nonlinear,mlp,SMA,16,3,0.5289534835499264
nonlinear-nonlinear,mlp,SMA,16,4,0.5404638680019624
nonlinear-nonlinear,mlp,SMA,26,0,0.6336011059621938
nonlinear-nonlinear,mlp,SMA,26,1,0.6574628687336304
nonlinear-nonlinear,mlp,SMA,26,2,0.7147560082411463
nonlinear-nonlinear,mlp,SMA,26,3,0.644303134891111
nonlinear-nonlinear,mlp,SMA,26,4,0.5988355650660002
nonlinear-nonlinear,mlp,SMA,36,0,0.6618791574668254
nonlinear-nonlinear,mlp,SMA,36,1,0.6843096746864543
nonlinear-nonlinear,mlp,SMA,36,2,0.743516209949581
nonlinear-nonlinear,mlp,SMA,36,3,0.6486282551310382
nonlinear-nonlinear,mlp,SMA,36,4,0.6308838908235112
nonlinear-nonlinear,mlp,SMA,46,0,0.6510323470368731
nonlinear-nonlinear,mlp,SMA,46,1,0.6886610016477153
nonlinear-nonlinear,mlp,SMA,46,2,0.7427108888754697
nonlinear-nonlinear,mlp,SMA,46,3,0.6714610099362263
nonlinear-nonlinear,mlp,SMA,46,4,0.6186789318376947
nonlinear-nonlinear,mlp,SMA,50,0,0.6642590564358485
nonlinear-nonlinear,mlp,SMA,50,1,0.682136997520895
nonlinear-nonlinear,mlp,SMA,50,2,0.7423280689727009
nonlinear-nonlinear,mlp,SMA,50,3,0.6617181207147159
nonlinear-nonlinear,mlp,SMA,50,4,0.6292153098543307
nonlinear-nonlinear,linear,M1,10,0,0.41334830665333566
nonlinear-nonlinear,linear,M1,10,1,0.46433771118966244
nonlinear-nonlinear,linear,M1,10,2,0.4473586970676909
nonlinear-nonlinear,linear,M1,10,3,0.5051248557476432
nonlinear-nonlinear,linear,M1,10,4,0.40426866218407853
nonlinear-nonlinear,linear,M1,16,0,0.5137980748106551
nonlinear-nonlinear,linear,M1,16,1,0.6011806513602482
nonlinear-nonlinear,linear,M1,16,2,0.5984412005922708
nonlinear-nonlinear,linear,M1,16,3,0.5777493678697363
nonlinear-nonlinear,linear,M1,16,4,0.5284929183392278
nonlinear-nonlinear,linear,M1,26,0,0.6523007835012365
nonlinear-nonlinear,linear,M1,26,1,0.6932045549705816
nonlinear-nonlinear,linear,M1,26,2,0.6802055183206506
nonlinear-nonlinear,linear,M1,26,3,0.7136284213707149
nonlinear-nonlinear,linear,M1,26,4,0.6251790643878059
nonlinear-nonlinear,linear,M1,36,0,0.7105683399230625
nonlinear-nonlinear,linear,M1,36,1,0.7358815173249298
nonlinear-nonlinear,linear,M1,36,2,0.7181767500178037
nonlinear-nonlinear,linear,M1,36,3,0.7669070842730875
nonlinear-nonlinear,linear,M1,36,4,0.6809334109531671
nonlinear-nonlinear,linear,M1,46,0,0.7442528061959872
nonlinear-nonlinear,linear,M1,46,1,0.7835272815584998
nonlinear-nonlinear,linear,M1,46,2,0.7512906319029967
nonlinear-nonlinear,linear,M1,46,3,0.799728519197943
nonlinear-nonlinear,linear,M1,46,4,0.7330966512589641
nonlinear-nonlinear,linear,M1,50,0,0.7456991082296653
nonlinear-nonlinear,linear,M1,50,1,0.790121305485267
nonlinear-nonlinear,linear,M1,50,2,0.7503585215446921
nonlinear-nonlinear,linear,M1,50,3,0.8009093585617851
nonlinear-nonlinear,linear,M1,50,4,0.7254361148066594
nonlinear-nonlinear,linear,SMA,10,0,0.3209374375242532
nonlinear-nonlinear,linear,SMA,10,1,0.42133700114597195
nonlinear-nonlinear,linear,SMA,10,2,0.47346808664099405
nonlinear-nonlinear,linear,SMA,10,3,0.3647175448912199
nonlinear-nonlinear,linear,SMA,10,4,0.28217153950033363
nonlinear-nonlinear,linear,SMA,16,0,0.4272724250550511
nonlinear-nonlinear,linear,SMA,16,1,0.4903609671304205
nonlinear-nonlinear,linear,SMA,16,2,0.5775425084214935
nonlinear-nonlinear,linear,SMA,16,3,0.4393254788225167
nonlinear-nonlinear,linear,SMA,16,4,0.42616711886252073
nonlinear-nonlinear,linear,SMA,26,0,0.515625111738578
nonlinear-nonlinear,linear,SMA,26,1,0.5758934981894042
nonlinear-nonlinear,linear,SMA,26,2,0.6521619286563046
nonlinear-nonlinear,linear,SMA,26,3,0.5489725983358392
nonlinear-nonlinear,linear,SMA,26,4,0.5203328399225047
nonlinear-nonlinear,linear,SMA,36,0,0.5885110556377251
nonlinear-nonlinear,linear,SMA,36,1,0.6338812104179912
nonlinear-nonlinear,linear,SMA,36,2,0.6957889968153396
nonlinear-nonlinear,linear,SMA,36,3,0.5999466236189057
nonlinear-nonlinear,linear,SMA,36,4,0.568880918597691
nonlinear-nonlinear,linear,SMA,46,0,0.6145986849814079
nonlinear-nonlinear,linear,SMA,46,1,0.6589508315830394
nonlinear-nonlinear,linear,SMA,46,2,0.7099674773263274
nonlinear-nonlinear,linear,SMA,46,3,0.6325646807832638
nonlinear-nonlinear,linear,SMA,46,4,0.5917854636112636
nonlinear-nonlinear,linear,SMA,50,0,0.6301418774819602
nonlinear-nonlinear,linear,SMA,50,1,0.6612185362380498
nonlinear-nonlinear,linear,SMA,50,2,0.717471804591025
nonlinear-nonlinear,linear,SMA,50,3,0.6270242308997144
nonlinear-nonlinear,linear,SMA,50,4,0.6005798838345692
