model,readout,region,n_components,fold,r2
linear-linear,mlp,M1,10,0,0.5850379888231849
linear-linear,mlp,M1,10,1,0.6428404612003316
linear-linear,mlp,M1,10,2,0.6455893802742081
linear-linear,mlp,M1,10,3,0.6461297679415056
linear-linear,mlp,M1,10,4,0.5653958690789428
linear-linear,mlp,M1,16,0,0.7161316391103808
linear-linear,mlp,M1,16,1,0.7459613781266878
linear-linear,mlp,M1,16,2,0.7252465261200947
linear-linear,mlp,M1,16,3,0.7678817286462811
linear-linear,mlp,M1,16,4,0.6831633238931388
linear-linear,mlp,M1,26,0,0.7592560023551217
linear-linear,mlp,M1,26,1,0.7993659588388442
linear-linear,mlp,M1,26,2,0.7700118943932819
linear-linear,mlp,M1,26,3,0.8084658337406146
linear-linear,mlp,M1,26,4,0.7261810212229836
linear-linear,mlp,M1,36,0,0.7658356089355444
linear-linear,mlp,M1,36,1,0.8073054655148174
linear-linear,mlp,M1,36,2,0.7833058267628725
linear-linear,mlp,M1,36,3,0.8206184310533059
linear-linear,mlp,M1,36,4,0.7522720823673409
linear-linear,mlp,M1,46,0,0.7720962904948937
linear-linear,mlp,M1,46,1,0.8123717371263611
linear-linear,mlp,M1,46,2,0.7906240941515733
linear-linear,mlp,M1,46,3,0.8245401405390566
linear-linear,mlp,M1,46,4,0.7574293946950241
linear-linear,mlp,M1,50,0,0.7671152040558954
linear-linear,mlp,M1,50,1,0.8141420968030121
linear-linear,mlp,M1,50,2,0.7844592585917418
linear-linear,mlp,M1,50,3,0.8204732951276015
linear-linear,mlp,M1,50,4,0.7602821741011708
linear-linear,mlp,SMA,10,0,0.46880018156269787
linear-linear,mlp,SMA,10,1,0.5291170327649544
linear-linear,mlp,SMA,10,2,0.6133827862937059
linear-linear,mlp,SMA,10,3,0.4733058450796419
linear-linear,mlp,SMA,10,4,0.47184482243188813
linear-linear,mlp,SMA,16,0,0.6121121104292053
linear-linear,mlp,SMA,16,1,0.6079867466790032
linear-linear,mlp,SMA,16,2,0.6783698578307645
linear-linear,mlp,SMA,16,3,0.5997450472264908
linear-linear,mlp,SMA,16,4,0.5701766172764388
linear-linear,mlp,SMA,26,0,0.6354718937567665
linear-linear,mlp,SMA,26,1,0.6563081473537415
linear-linear,mlp,SMA,26,2,0.7207587633077605
linear-linear,mlp,SMA,26,3,0.6375887462128026
linear-linear,mlp,SMA,26,4,0.5806719798451948
linear-linear,mlp,SMA,36,0,0.646539787738894
linear-linear,mlp,SMA,36,1,0.6721890845872354
linear-linear,mlp,SMA,36,2,0.730826000912495
linear-linear,mlp,SMA,36,3,0.6446517128852917
linear-linear,mlp,SMA,36,4,0.5950152423701706
linear-linear,mlp,SMA,46,0,0.6372372108422929
linear-linear,mlp,SMA,46,1,0.670487973510576
linear-linear,mlp,SMA,46,2,0.7319044473456583
linear-linear,mlp,SMA,46,3,0.6392034273833708
linear-linear,mlp,SMA,46,4,0.5776805610764261
linear-linear,mlp,SMA,50,0,0.632293347907653
linear-linear,mlp,SMA,50,1,0.6613526298506778
linear-linear,mlp,SMA,50,2,0.7301152487629118
linear-linear,mlp,SMA,50,3,0.6410530598216669
linear-linear,mlp,SMA,50,4,0.5885932795249683
linear-linear,linear,M1,10,0,0.4632992211603763
linear-linear,linear,M1,10,1,0.4988183224277358
linear-linear,linear,M1,10,2,0.4812960734286966
linear-linear,linear,M1,10,3,0.498680280801588
linear-linear,linear,M1,10,4,0.40082438743544324
linear-linear,linear,M1,16,0,0.5803129774071302
linear-linear,linear,M1,16,1,0.5962304369240361
linear-linear,linear,M1,16,2,0.5701667216288043
linear-linear,linear,M1,16,3,0.6451688332269525
linear-linear,linear,M1,16,4,0.5292060352567116
linear-linear,linear,M1,26,0,0.6573944554541349
linear-linear,linear,M1,26,1,0.6754634940943886
linear-linear,linear,M1,26,2,0.6402476724529288
linear-linear,linear,M1,26,3,0.7045453323311688
linear-linear,linear,M1,26,4,0.6022477158826292
linear-linear,linear,M1,36,0,0.6875400166175684
linear-linear,linear,M1,36,1,0.7087919135734075
linear-linear,linear,M1,36,2,0.6790947020219044
linear-linear,linear,M1,36,3,0.734603712142966
linear-linear,linear,M1,36,4,0.6435408316972826
linear-linear,linear,M1,46,0,0.7102089589494716
linear-linear,linear,M1,46,1,0.7346651406058299
linear-linear,linear,M1,46,2,0.6934086007624403
linear-linear,linear,M1,46,3,0.7511710597904492
linear-linear,linear,M1,46,4,0.6678768349014392
linear-linear,linear,M1,50,0,0.7104582380029719
linear-linear,linear,M1,50,1,0.7366666760375135
linear-linear,linear,M1,50,2,0.6932499639169337
linear-linear,linear,M1,50,3,0.7547003449669737
linear-linear,linear,M1,50,4,0.6722951359671352
linear-linear,linear,SMA,10,0,0.3665126106365187
linear-linear,linear,SMA,10,1,0.37272979619723057
linear-linear,linear,SMA,10,2,0.4920656977460868
linear-linear,linear,SMA,10,3,0.3459124308051105
linear-linear,linear,SMA,10,4,0.31904455080137945
linear-linear,linear,SMA,16,0,0.48335057254210606
linear-linear,linear,SMA,16,1,0.46736495154176655
linear-linear,linear,SMA,16,2,0.5502523792747505
linear-linear,linear,SMA,16,3,0.47184802370647466
linear-linear,linear,SMA,16,4,0.4532182002394804
linear-linear,linear,SMA,26,0,0.5389199551160743
linear-linear,linear,SMA,26,1,0.5555381524872043
linear-linear,linear,SMA,26,2,0.6199181911380728
linear-linear,linear,SMA,26,3,0.5238213063354653
linear-linear,linear,SMA,26,4,0.50577413116996
linear-linear,linear,SMA,36,0,0.5773018724882485
linear-linear,linear,SMA,36,1,0.5970796505146845
linear-linear,linear,SMA,36,2,0.6507311057281522
linear-linear,linear,SMA,36,3,0.5648942612531523
linear-linear,linear,SMA,36,4,0.5450445502360451
linear-linear,linear,SMA,46,0,0.5861884694977795
linear-linear,linear,SMA,46,1,0.6131637562996558
linear-linear,linear,SMA,46,2,0.670093306224889
linear-linear,linear,SMA,46,3,0.5751582281198859
linear-linear,linear,SMA,46,4,0.5538403354953634
linear-linear,linear,SMA,50,0,0.5883245677058857
linear-linear,linear,SMA,50,1,0.6150510503503701
linear-linear,linear,SMA,50,2,0.6724959150722356
linear-linear,linear,SMA,50,3,0.57764240329686
linear-linear,linear,SMA,50,4,0.5591290252655211
nonlinear-linear,mlp,M1,10,0,0.5003136205897528
nonlinear-linear,mlp,M1,10,1,0.6190012450161595
nonlinear-linear,mlp,M1,10,2,0.607316075178801
nonlinear-linear,mlp,M1,10,3,0.6070436437942497
nonlinear-linear,mlp,M1,10,4,0.5318856353952807
nonlinear-linear,mlp,M1,16,0,0.6318179814731554
nonlinear-linear,mlp,M1,16,1,0.7334908014019546
nonlinear-linear,mlp,M1,16,2,0.7182045152292994
nonlinear-linear,mlp,M1,16,3,0.7160328563716947
nonlinear-linear,mlp,M1,16,4,0.6726449753761288
nonlinear-linear,mlp,M1,26,0,0.7423480586775719
nonlinear-linear,mlp,M1,26,1,0.780365294465319
nonlinear-linear,mlp,M1,26,2,0.7785708205234763
nonlinear-linear,mlp,M1,26,3,0.8033287302297957
nonlinear-linear,mlp,M1,26,4,0.73654852081202
nonlinear-linear,mlp,M1,36,0,0.7651092522180423
nonlinear-linear,mlp,M1,36,1,0.8192052842840963
nonlinear-linear,mlp,M1,36,2,0.8009369094355823
nonlinear-linear,mlp,M1,36,3,0.8335150655693269
nonlinear-linear,mlp,M1,36,4,0.7644651506729533
nonlinear-linear,mlp,M1,46,0,0.7819917223798164
nonlinear-linear,mlp,M1,46,1,0.8373268262332824
nonlinear-linear,mlp,M1,46,2,0.8102042467972007
nonlinear-linear,mlp,M1,46,3,0.835666914938813
nonlinear-linear,mlp,M1,46,4,0.781947719430908
nonlinear-linear,mlp,M1,50,0,0.7875250099070631
